Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000130649,140,179,106,22,9,6,19,6,7,3,20,61,207,3,2,10,3,69,2,6,112
ENSG00000130653,6,8,4,22,12,10,15,13,5,4,2,28,42,9,4,2,8,44,6,3,6
ENSG00000130656,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ENSG00000130669,0,1,2,3,3,2,1,0,1,3,1,5,1,0,0,0,0,2,1,0,0
ENSG00000130675,0,3,3,4,1,2,0,1,3,0,0,1,0,1,4,2,2,0,4,1,0
ENSG00000130684,11,16,37,30,29,14,45,37,40,65,62,45,51,44,5,32,46,43,35,23,31
ENSG00000130695,45,29,9,9,6,3,18,10,6,19,4,29,7,5,0,21,10,12,2,6,41
ENSG00000130699,2,5,4,1,2,1,2,2,1,1,4,4,0,1,1,2,1,2,1,0,3
ENSG00000130700,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000130701,0,1,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0
ENSG00000130702,179,219,238,152,247,123,169,233,173,168,400,345,96,203,26,99,244,199,274,192,598
ENSG00000130703,5,7,15,3,0,1,5,1,1,4,6,22,4,0,1,0,6,4,1,2,13
ENSG00000130706,24,16,30,7,7,5,19,3,19,15,15,37,16,14,6,9,34,12,9,6,168
ENSG00000130707,2,1,1,0,1,0,1,0,0,0,1,11,0,1,0,0,0,4,0,0,1
ENSG00000130711,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4
ENSG00000130713,0,1,0,0,1,1,1,0,2,2,1,5,2,1,0,2,1,0,1,1,1
ENSG00000130714,11,6,15,11,9,3,10,12,13,13,2,26,10,18,10,8,27,42,9,8,44
ENSG00000130717,3,3,4,4,2,1,7,2,3,2,4,6,2,5,2,3,2,9,3,1,24
ENSG00000130720,3,0,0,0,2,0,0,1,1,0,4,7,1,2,0,3,5,3,2,0,3
ENSG00000130723,29,33,41,15,17,4,17,22,23,20,12,39,16,26,17,12,39,48,23,19,49
ENSG00000130724,5,3,3,5,3,2,4,2,4,7,11,5,2,9,1,2,7,9,1,2,8
ENSG00000130725,10,13,7,4,8,2,4,0,6,6,8,6,4,6,0,0,7,2,2,3,14
ENSG00000130726,3,6,3,1,6,4,3,4,4,5,5,5,3,3,0,2,2,1,3,1,8
ENSG00000130731,31,3,1,7,4,0,1,1,7,2,3,12,1,4,0,1,1,2,0,0,14
ENSG00000130733,197,171,131,109,88,71,112,101,76,158,382,107,69,81,16,52,121,129,127,87,140
ENSG00000130734,22,15,23,22,17,22,47,47,48,63,71,28,13,38,8,17,52,30,54,25,51
ENSG00000130741,1,1,3,0,2,1,3,0,0,1,1,4,0,0,1,0,0,1,0,0,2
ENSG00000130748,8,9,1,2,0,0,1,0,1,0,0,0,0,1,0,2,2,9,0,1,1
ENSG00000130749,19,5,7,2,7,3,10,4,1,10,9,12,5,5,6,3,10,11,6,2,10
ENSG00000130751,5,7,12,9,1,1,0,0,3,4,6,12,9,3,4,2,5,8,1,2,20
ENSG00000130755,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1
ENSG00000130758,26,50,11,11,12,4,4,1,5,11,2,9,2,6,3,4,3,10,4,3,27
ENSG00000130762,0,0,0,2,0,0,7,1,0,12,10,7,0,0,0,0,2,3,0,0,2
ENSG00000130764,8,3,16,5,14,7,4,8,11,9,203,62,1,18,2,9,3,5,2,10,20
ENSG00000130766,0,0,2,0,2,1,1,0,0,0,3,2,0,1,0,1,1,0,0,0,0
ENSG00000130768,0,4,10,1,4,1,2,0,3,6,0,4,1,1,2,2,0,3,2,1,4
ENSG00000130770,1,10,51,9,7,6,7,3,4,15,5,14,11,6,5,11,10,18,9,17,29
ENSG00000130772,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000130775,6,1,3,2,4,2,6,1,6,1,0,5,6,4,2,2,10,3,4,5,4
ENSG00000130779,3,2,1,1,3,0,1,2,3,2,6,16,1,2,5,1,2,3,5,0,12
ENSG00000130783,0,0,0,1,0,0,0,2,0,0,0,1,1,0,2,1,0,1,0,0,0
ENSG00000130787,139,14,20,28,25,7,13,23,21,19,47,32,19,26,16,16,9,11,12,9,18
ENSG00000130803,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,3,0,0,1,0
ENSG00000130810,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1
ENSG00000130811,24,46,61,11,14,17,39,29,15,41,75,26,27,32,6,21,30,29,32,46,36
ENSG00000130812,135,163,120,94,88,87,122,164,134,116,87,113,45,115,9,73,10,85,149,110,144
